,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression (Tuned),0.9893617021276596,0.9761904761904762,0.9389312977099237,0.9571984435797666,0.9917788880153516
Naive Bayes (Tuned),0.9816247582205029,0.9745762711864406,0.8778625954198473,0.9236947791164659,0.9895978629335632
Random Forest (Tuned),0.9787234042553191,1.0,0.8320610687022901,0.9083333333333333,0.9919606401055008
